iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,1/1/2012 12:00,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1/3/2012 12:00,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981,0.995283019,0.004716981
3,1/4/2012 12:00,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962,0.990566038,0.009433962
4,1/5/2012 12:00,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943,0.985849057,0.014150943
5,1/6/2012 12:00,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925,0.981132075,0.018867925
6,1/7/2012 12:00,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906,0.976415094,0.023584906
7,1/8/2012 12:00,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887,0.971698113,0.028301887
8,1/9/2012 12:00,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868,0.966981132,0.033018868
9,1/10/2012 12:00,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849,0.962264151,0.037735849
10,1/11/2012 12:00,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283,0.95754717,0.04245283
11,1/12/2012 12:00,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811,0.952830189,0.047169811
12,1/13/2012 12:00,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792,0.948113208,0.051886792
