<2.csv;US-AK;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-AL;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-AR;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-AZ;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-CA;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-CO;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-CT;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-DC;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-DE;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-FL;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-GA;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-HI;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-IA;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-ID;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-IL;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-IN;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-KS;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-KY;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-LA;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-MA;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-MD;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-ME;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-MI;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-MN;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-MO;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-MS;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-MT;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-NC;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-ND;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-NE;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-NH;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-NJ;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-NM;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
<2.csv;US-NV;1/1/2012 12:00'1>,<0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179;0.97596179>
<2.csv;US-NY;1/1/2012 12:00'1>,<0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469;0.818646469>
<2.csv;US-OH;1/1/2012 12:00'1>,<0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369;0.341366369>
<2.csv;US-OK;1/1/2012 12:00'1>,<0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169;0.99868169>
